Grapheme	Alphabeme(s)	Notes
q9	que	"Enclitic final ""-que"""
b9	bus	"Ending ""-bus"""
q¹	qui	"Also in the middle of a word (""q¹b9"" = ""quibus"")"
qª	qua	"Also in the middle of a word (""qªttuordecim"" at the end of paragraph g3.17-4.2)"
t5	ter	"Also in the middle of a word (""int5pretes"" at the end of paragraph g3.17-4.2)"
[aeiouy]0	[aeiouy]m	Vowel + 0 = vowel + m (V stands for any vowel)
<uø>	uero	
<st0>	sunt	
