b|p|Sennacherib|Sennacherip|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
im|y|Babiloniam|Babylonia|unknown
Ii|Yy|Isaias|Ysayas|unknown
Ii|Yy|Isaiam|Ysayam|unknown
|t|fuisse|fuisset|unknown
s|t|Bisantium|Bitantium|unknown
trie|rie|idolatrie|idolarie|unknown
e|a|fecit|facit|unknown
n|m|Ioachin|Ioachim|unknown
Hieremias|Ieremias|Hieremias|Ieremias|unknown
i|y|Iosie|Iosye|y
i|y|Babilonis|Babylonis|y
i|y|Babilone|Babylone|y
Hieremias|Ieremias|Hieremias|Ieremias|unknown
a|h|aedificauit|hedificauit|unknown
edificauit|hedificauit|edificauit|hedificauit|unknown
neus|eus|Methimneus|Methimeus|unknown
phino|fino|delphino|delfino|unknown
|m|regnante|regnantem|unknown
|n|Iosia|Iosian|unknown
a|ra|cura|curra|unknown
|s|uitii|uitiis|unknown
c|t|capta|tapta|tc
erusalem|herusalem|Ierusalem|Iherusalem|unknown
eli|he|Danielli|Danihel|unknown
rtem|ter|partem|pater|unknown
i|y|Babiloniam|Babyloniam|y
ibus|es|tribus|tres|unknown
i|y|Babilonis|Babylonis|y
i|y|Babilonis|Babylonis|y
i|y|Babilonis|Babylonis|y
|a|Iude|Iudea|unknown
i|y|Babiloniam|Babyloniam|y
u|a|fuerunt|fuerant|unknown
i|y|Babiloniam|Babyloniam|y
y|i|Egypti|Egipti|y
b|p|obtinuit|optinuit|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
Ierulem|Hierusalem|Ierulem|Hierusalem|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
i|y|Babilonem|Babylonem|y
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
i|y|Babilonem|Babylonem|y
tenim|nim|etenim|enim|unknown
s|i|abusus|abuius|unknown
elis|helis|Danielis|Danihelis|unknown
theum|heum|Mattheum|Matheum|unknown
has|as|dechas|decas|unknown
cipit||incipit|in|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
eh|he|Daniehle|Danihele|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
i|y|Babiloniam|Babyloniam|y
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
c||nec|ne|unknown
orum|iorum|furiosorum|furiosiorum|unknown
i|y|Babilonem|Babylonem|y
rentur|entur|transferrentur|transferentur|unknown
i|y|Babilon|Babylon|y
i|y|Babiloniam|Babyloniam|y
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
u|a|constituerunt|constituerant|unknown
Ih|Hi|Iheremias|Hieremias|unknown
t|it|petiit|petiiit|unknown
|i|testimoni|testimonii|unknown
i|y|Babiloniam|Babyloniam|y
ae|e|alienigenae|alienigene|ae
i|ati|affecti|affectati|unknown
t|it|petiit|petiiit|unknown
i|y|historie|hystorie|y
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
ea|du|eam|dum|unknown
st|t|est|et|unknown
auerunt|erauerunt|libauerunt|liberauerunt|unknown
i|y|Babiloniam|Babyloniam|y
ominationes|hominationes|abominationes|abhominationes|unknown
mitere|itere|committere|comittere|unknown
nendo|pnendo|contemnendo|contempnendo|unknown
i|y|Ysaias|Ysayas|y
Ezechiel|Iezechiel|Ezechiel|Iezechiel|unknown
m|n|imminente|inminente|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
g|c|trigesimo|tricesimo|unknown
Ezechiel|Iezechiel|Ezechiel|Iezechiel|unknown
i|y|Babilone|Babylone|y
s|c|Mishaelem|Michaelem|unknown
ici|cici|Iudaici|Iudacici|unknown
m||terram|terra|unknown
e|i|ceremoniarumque|cerimoniarumque|unknown
inum|linum|Esquilinum|Esquillinum|unknown
quattuor|IV|quattuor|IV|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
i|y|Babilonis|Babylonis|y
n|u|ponit|pouit|unknown
i|y|Babilone|Babylone|y
m||stuporem|stupore|unknown
m|n|impleti|inpleti|unknown
|s|anni|annis|unknown
e|u|eorem|eorum|unknown
